enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,cdi_round,experience_group,training_ten_hours
5764,21,0.624,no info,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0,0.6,<5,0
2156,21,0.624,no info,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0,0.6,5-10,0
11399,13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,no info,no info,1,132,1.0,0.8,<5,120
31972,159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0,0.8,11-15,40
19061,114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0,0.9,11-15,40
6491,102,0.804,no info,Has relevent experience,no_enrollment,Masters,STEM,10,no info,no info,1,48,0.0,0.8,5-10,40
7041,40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0.0,0.8,<5,40
22767,21,0.624,no info,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0,0.6,5-10,0
14505,67,0.855,no info,No relevent experience,no_enrollment,High School,no info,4,no info,no info,never,22,0.0,0.9,<5,0
17139,21,0.624,no info,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0,0.6,11-15,120
28476,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,no info,no info,2,72,0.0,0.9,5-10,40
21538,100,0.887,Male,Has relevent experience,no_enrollment,High School,no info,11,<10,Pvt Ltd,1,8,1.0,0.9,11-15,0
10408,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0,0.6,16-20,40
14928,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0.0,0.9,>20,40
22293,103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0,0.9,16-20,120
4324,103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,no info,no info,1,24,0.0,0.9,5-10,0
26966,160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0,0.9,>20,80
26494,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0,0.9,11-15,120
4866,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206,0.0,0.9,5-10,200
12726,114,0.926,Male,No relevent experience,Part time course,High School,no info,1,10000+,Other,1,152,0.0,0.9,<5,120
10164,114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0,0.9,>20,40
8612,103,0.92,no info,No relevent experience,no_enrollment,Graduate,STEM,12,no info,no info,4,50,0.0,0.9,11-15,40
2547,114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0,0.9,16-20,0
13854,104,0.924,Male,Has relevent experience,no_enrollment,High School,no info,4,10/49,Pvt Ltd,2,36,0.0,0.9,<5,0
31654,21,0.624,no info,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0,0.6,5-10,80
13643,64,0.6659999999999999,no info,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0,0.7,5-10,80
5590,21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0,0.6,5-10,0
22452,21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,no info,no info,never,26,1.0,0.6,5-10,0
9006,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0,0.6,5-10,80
25987,103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0,0.9,16-20,40
4476,101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,no info,no info,>4,20,1.0,0.6,11-15,0
25103,83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0.0,0.9,11-15,0
5568,101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,no info,no info,1,92,1.0,0.6,<5,80
2195,64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0,0.7,5-10,80
30533,105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,0.8,5-10,0
28512,104,0.924,no info,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0,0.9,<5,0
1023,114,0.926,Male,No relevent experience,Full time course,High School,no info,4,10000+,Pvt Ltd,1,43,0.0,0.9,<5,40
12253,104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0,0.9,>20,40
25296,73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0,0.8,<5,40
13238,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,2,19,0.0,0.9,>20,0
18578,162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0,0.8,>20,0
29975,67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,no info,no info,1,90,0.0,0.9,5-10,80
26516,75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0,0.9,5-10,0
8433,100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0,0.9,>20,40
5878,93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0,0.9,5-10,120
25695,67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0,0.9,<5,0
9645,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,no info,no info,>4,47,0.0,0.9,11-15,40
12730,16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0,0.9,11-15,0
20970,64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,4,22,0.0,0.7,>20,0
17271,21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,no info,no info,never,18,1.0,0.6,<5,0
12731,13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0.0,0.8,<5,0
10908,67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,no info,1,46,0.0,0.9,5-10,40
29117,11,0.55,no info,No relevent experience,Full time course,Graduate,STEM,<1,no info,no info,never,12,0.0,0.6,<5,0
3686,103,0.92,no info,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0,0.9,5-10,0
22683,36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,0.9,5-10,40
22134,103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0,0.9,<5,0
31765,67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0,0.9,5-10,0
31449,103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0,0.9,<5,0
5987,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0,0.9,11-15,0
21762,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0,0.9,>20,80
22070,103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,1,136,0.0,0.9,>20,120
25413,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,no info,1,27,0.0,0.9,5-10,0
5902,20,0.7959999999999999,no info,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0,0.8,<5,40
28403,71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0.0,0.9,11-15,80
30937,57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0.0,0.9,<5,80
28751,103,0.92,no info,No relevent experience,Full time course,High School,no info,4,no info,no info,3,75,0.0,0.9,<5,40
29290,152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,no info,Public Sector,2,42,0.0,0.7,11-15,40
32401,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,no info,1,332,0.0,0.9,5-10,320
29036,16,0.91,Male,No relevent experience,no_enrollment,High School,no info,3,no info,no info,never,182,0.0,0.9,<5,160
16869,103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0,0.9,<5,0
10497,19,0.682,no info,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1.0,0.7,5-10,160
18099,103,0.92,no info,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0,0.9,5-10,40
12081,65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0,0.8,5-10,0
7364,160,0.92,no info,No relevent experience,Full time course,High School,no info,2,100-500,Pvt Ltd,1,142,0.0,0.9,<5,120
11184,74,0.579,no info,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0,0.6,<5,0
7016,65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0,0.8,5-10,0
8695,11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1.0,0.6,5-10,0
6172,11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0,0.6,5-10,0
14672,173,0.878,no info,No relevent experience,no_enrollment,Masters,STEM,>20,no info,no info,1,150,0.0,0.9,>20,120
18257,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0,0.9,11-15,0
24493,103,0.92,no info,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,no info,1,140,0.0,0.9,5-10,120
1180,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0,0.9,11-15,40
28627,75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0,0.9,>20,160
8168,136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0,0.9,5-10,0
10473,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,0.6,<5,0
25349,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0,0.9,>20,0
5220,73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,no info,no info,4,46,0.0,0.8,>20,40
4789,67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,0.9,5-10,200
11338,114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0,0.9,5-10,0
27963,98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,no info,no info,1,160,1.0,0.9,<5,160
8571,21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,0.0,0.6,<5,80
16303,114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,no info,1,46,0.0,0.9,5-10,40
20576,97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0,0.9,>20,0
32966,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,0.6,<5,0
21199,90,0.698,no info,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0,0.7,5-10,80
18819,50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0,0.9,5-10,40
14199,160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0,0.9,5-10,240
7666,21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0,0.6,11-15,40
13915,16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0,0.9,>20,0
10555,173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,0.9,11-15,0
16040,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0,0.9,5-10,120
32826,138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,no info,no info,1,45,0.0,0.8,5-10,40
13253,82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0.0,0.7,11-15,80
15637,67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0,0.9,<5,40
28074,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0,0.9,>20,0
23012,103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0,0.9,11-15,40
16110,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0,0.9,5-10,40
3921,36,0.893,no info,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0,0.9,>20,0
24530,114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0,0.9,11-15,0
1924,102,0.804,no info,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0,0.8,>20,160
32776,64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,no info,no info,4,290,0.0,0.7,16-20,280
1907,102,0.804,Male,No relevent experience,no_enrollment,High School,no info,2,<10,NGO,never,145,0.0,0.8,<5,120
24829,103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0,0.9,<5,120
30488,11,0.55,no info,No relevent experience,Full time course,Graduate,STEM,2,no info,no info,1,20,0.0,0.6,<5,0
1265,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0,0.9,5-10,40
22098,90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,no info,no info,4,21,1.0,0.7,5-10,0
13342,21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0,0.6,5-10,0
24608,160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0,0.9,5-10,0
20081,57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,>4,156,0.0,0.9,>20,120
24796,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0,0.9,>20,0
7777,114,0.926,no info,Has relevent experience,no_enrollment,Masters,STEM,>20,no info,no info,never,120,0.0,0.9,>20,120
22718,157,0.769,no info,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,no info,>4,47,0.0,0.8,11-15,40
1261,73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,no info,no info,2,100,1.0,0.8,11-15,80
3396,67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0.0,0.9,5-10,80
4283,103,0.92,Male,No relevent experience,no_enrollment,High School,no info,4,no info,no info,never,52,0.0,0.9,<5,40
18998,114,0.926,no info,Has relevent experience,no_enrollment,High School,no info,9,10/49,no info,4,39,0.0,0.9,5-10,0
2003,103,0.92,Male,Has relevent experience,Full time course,High School,no info,4,no info,no info,1,112,1.0,0.9,<5,80
31786,103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0,0.9,>20,0
12154,16,0.91,no info,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0,0.9,>20,40
23455,21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0,0.6,5-10,40
19882,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,no info,no info,>4,72,0.0,0.9,11-15,40
28817,89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0,0.9,11-15,120
4656,114,0.926,Male,No relevent experience,no_enrollment,High School,no info,6,no info,Pvt Ltd,never,28,0.0,0.9,5-10,0
7280,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0.0,0.9,11-15,0
16903,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0,0.9,16-20,120
13333,75,0.939,no info,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,never,326,0.0,0.9,>20,320
26241,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0.0,0.9,>20,0
12381,102,0.804,no info,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0.0,0.8,5-10,40
4064,160,0.92,no info,Has relevent experience,no_enrollment,Graduate,STEM,18,no info,no info,1,198,1.0,0.9,16-20,160
32092,103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0.0,0.9,11-15,40
3766,150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0.0,0.7,>20,0
30496,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0.0,0.9,>20,0
7189,73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0.0,0.8,>20,40
29497,103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0,0.9,>20,80
31593,67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0,0.9,5-10,80
11986,90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0.0,0.7,5-10,0
31033,16,0.91,no info,No relevent experience,Full time course,High School,no info,3,no info,no info,1,8,0.0,0.9,<5,0
14835,173,0.878,Female,Has relevent experience,Part time course,High School,no info,2,100-500,NGO,1,22,0.0,0.9,<5,0
3728,103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0,0.9,>20,0
3024,98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0.0,0.9,>20,240
23508,103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22,0.0,0.9,5-10,0
29457,103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0,0.9,>20,80
12297,175,0.7759999999999999,no info,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,11,0.0,0.8,<5,0
3065,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0.0,0.9,>20,40
29226,104,0.924,Male,No relevent experience,Full time course,High School,no info,6,no info,no info,never,15,0.0,0.9,5-10,0
5493,28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,0.0,0.9,>20,0
2891,114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0.0,0.9,>20,80
32509,136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0.0,0.9,<5,40
31841,21,0.624,no info,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105,1.0,0.6,5-10,80
907,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0,0.9,>20,40
29526,115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,1.0,0.8,11-15,40
10956,94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0,0.7,11-15,120
26099,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0.0,0.9,11-15,40
26163,21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,no info,no info,never,8,0.0,0.6,<5,0
4120,16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,no info,no info,3,17,1.0,0.9,11-15,0
7335,83,0.923,Male,No relevent experience,no_enrollment,High School,no info,1,no info,no info,1,33,0.0,0.9,<5,0
706,16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0.0,0.9,<5,0
9890,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0.0,0.9,11-15,160
32683,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0.0,0.9,11-15,0
27104,36,0.893,Male,Has relevent experience,no_enrollment,High School,no info,>20,no info,no info,never,87,0.0,0.9,>20,80
7731,65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,no info,no info,never,84,0.0,0.8,11-15,80
31943,71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0.0,0.9,>20,0
22899,100,0.887,no info,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0,0.9,5-10,0
33339,21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0.0,0.6,<5,0
20866,59,0.775,no info,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,12,0.0,0.8,5-10,0
21634,21,0.624,no info,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0.0,0.6,5-10,40
29529,165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1.0,0.9,<5,40
32095,103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0.0,0.9,<5,80
18272,160,0.92,no info,Has relevent experience,Full time course,Graduate,Business Degree,>20,no info,no info,>4,90,1.0,0.9,>20,80
30098,103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0.0,0.9,>20,0
23825,21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,no info,no info,never,102,0.0,0.6,<5,80
7672,21,0.624,no info,Has relevent experience,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,202,1.0,0.6,<5,200
5633,145,0.555,no info,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22,0.0,0.6,<5,0
30695,21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,no info,Pvt Ltd,never,42,0.0,0.6,<5,40
5573,160,0.92,no info,No relevent experience,no_enrollment,Primary School,no info,4,no info,Pvt Ltd,never,50,0.0,0.9,<5,40
24936,21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0.0,0.6,<5,80
397,73,0.754,no info,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0.0,0.8,5-10,80
31602,103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0.0,0.9,>20,0
16814,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0.0,0.9,>20,40
19249,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0.0,0.9,5-10,80
9475,28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0.0,0.9,5-10,0
4865,114,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,no info,>4,10,0.0,0.9,>20,0
20881,28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0.0,0.9,5-10,80
21563,21,0.624,no info,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0.0,0.6,<5,0
