enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,cdi_round,cdi_split,City_split,Company Type,Highest Education,City_Development_Index,DataScience_Experience,Working_Experience
31654,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0,0.6,0,city_21,NOT employed in a Pvt Ltd company,NOT Graduate,<= 0.6,Experienced in data science,Under 20 years worked
13643,city_64,0.6659999999999999,,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0,0.7,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Novice in data science,Under 20 years worked
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0,0.6,0,city_21,Employed in a Pvt Ltd company,NOT Graduate,<= 0.6,Experienced in data science,Under 20 years worked
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,1.0,0.6,0,city_21,,NOT Graduate,<= 0.6,Novice in data science,Under 20 years worked
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0,0.6,0,city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,1.0,0.6,0,not_city_21,,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,1.0,0.6,0,not_city_21,,Graduate,<= 0.6,Novice in data science,Under 20 years worked
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0,0.7,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,0.8,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Novice in data science,Under 20 years worked
28512,city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Novice in data science,Under 20 years worked
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Over 20 years worked
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0,0.8,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Over 20 years worked
13478,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,,32,1.0,0.6,0,city_21,NOT employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0,0.8,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Over 20 years worked
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Under 20 years worked
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
24690,city_41,0.8270000000000001,,Has relevent experience,,Masters,STEM,13,<10,,1,15,0.0,0.8,1,not_city_21,,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Over 20 years worked
9572,city_11,0.55,,No relevent experience,Full time course,High School,,3,,,,98,0.0,0.6,0,not_city_21,,NOT Graduate,<= 0.6,Novice in data science,Under 20 years worked
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Novice in data science,Under 20 years worked
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Under 20 years worked
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
4830,city_90,0.698,,No relevent experience,,,,2,,Pvt Ltd,never,228,1.0,0.7,1,not_city_21,Employed in a Pvt Ltd company,,> 0.6,Novice in data science,Under 20 years worked
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,22,0.0,0.7,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Over 20 years worked
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,18,1.0,0.6,0,city_21,,Graduate,<= 0.6,Novice in data science,Under 20 years worked
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0.0,0.8,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,46,0.0,0.9,1,not_city_21,,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
29117,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,12,0.0,0.6,0,not_city_21,,Graduate,<= 0.6,Novice in data science,Under 20 years worked
3686,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Novice in data science,Under 20 years worked
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Novice in data science,Under 20 years worked
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Over 20 years worked
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Novice in data science,Over 20 years worked
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,,1,27,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Under 20 years worked
5902,city_20,0.7959999999999999,,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0,0.8,1,not_city_21,NOT employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Novice in data science,Under 20 years worked
28751,city_103,0.92,,No relevent experience,Full time course,High School,,4,,,3,75,0.0,0.9,1,not_city_21,,NOT Graduate,> 0.6,Novice in data science,Under 20 years worked
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0.0,0.7,1,not_city_21,NOT employed in a Pvt Ltd company,NOT Graduate,> 0.6,Novice in data science,Under 20 years worked
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,332,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Under 20 years worked
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,,,,140,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Novice in data science,Under 20 years worked
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3,,,never,182,0.0,0.9,1,not_city_21,,NOT Graduate,> 0.6,Novice in data science,Under 20 years worked
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Novice in data science,Under 20 years worked
10497,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1.0,0.7,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
18099,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0,0.8,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
7364,city_160,0.92,,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,142,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Novice in data science,Under 20 years worked
11184,city_74,0.579,,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0,0.6,0,not_city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Novice in data science,Under 20 years worked
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0,0.8,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1.0,0.6,0,not_city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0,0.6,0,not_city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
14672,city_173,0.878,,No relevent experience,no_enrollment,Masters,STEM,>20,,,1,150,0.0,0.9,1,not_city_21,,NOT Graduate,> 0.6,Novice in data science,Over 20 years worked
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
24493,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,,1,140,0.0,0.9,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Under 20 years worked
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Over 20 years worked
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,0.6,0,city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Over 20 years worked
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,0.0,0.8,1,not_city_21,,Graduate,> 0.6,Experienced in data science,Over 20 years worked
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,160,1.0,0.9,1,not_city_21,,Graduate,> 0.6,Novice in data science,Under 20 years worked
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,0.0,0.6,0,city_21,NOT employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,46,0.0,0.9,1,not_city_21,,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Over 20 years worked
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,0.6,0,city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
21199,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0,0.7,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0,0.9,1,not_city_21,NOT employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0,0.6,0,city_21,Employed in a Pvt Ltd company,Graduate,<= 0.6,Experienced in data science,Under 20 years worked
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,NOT Graduate,> 0.6,Experienced in data science,Over 20 years worked
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,45,0.0,0.8,1,not_city_21,,NOT Graduate,> 0.6,Experienced in data science,Under 20 years worked
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0.0,0.7,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0,0.9,1,not_city_21,Employed in a Pvt Ltd company,Graduate,> 0.6,Experienced in data science,Under 20 years worked
