enrollee_id,city,city_development_index,experience,training_hours,target,cdi_round,training_ten_hours,gender_original,relevent_experience_original,enrolled_university_original,education_level_original,major_discipline_original,experience_group_original,company_size_original,company_type_original,last_new_job_original,Female,Male,Gender_other,Gender_no_info,Experience_in_data_science,No_experience_in_data_science,Full_time_course,Part_time_course,No_course,Graduate,High_School,Masters,Phd,Primary_School,Major_in_Arts,Major_in_Business_Degree,Major_in_Humanities,No_Major,Major_in_Other,Major_in_STEM,Major_no_info,Work_experience_11_to_15_y,Work_experience_16_to_20_y,Work_experience_5_to_10_y,Work_experience_up_to_5_y,Work_experience_more_than_20_y,Company_size_10_to_49,Company_size_100_to_500,Company_size_1000_to_4999,Company_size_more_than_10000,Company_size_50_to_99,Company_size_500_to_999,Company_size_5000_to_9999,Company_size_up_to_10,Company_size_no_info,Currently_in_Early_Stage_Startup,Currently_in_Funded_Startup,Currently_in_NGO,Currently_in_other_company_type,Currently_in_Public_Sector,Currently_in_Pvt_Ltd,Company_type_no_info,1_year_between_previous_and_current_job,2_years_between_previous_and_current_job,3_years_between_previous_and_current_job,4_years_between_previous_and_current_job,More_than_4_years_between_previous_and_current_job,Last_new_job_never,cdi_split,city_split,experience_split_20,experience_split_5,relevant_experience_split,last_new_job_split,company_type_split,enrolled_university_split,education_level_split_g,education_level_split_h,company_size_split
13854,104,0.924,4,36,0.0,0.9,0,Male,Has relevent experience,no_enrollment,High School,no info,<5,10/49,Pvt Ltd,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
31654,21,0.624,6,112,1.0,0.6,80,no info,Has relevent experience,no_enrollment,Masters,STEM,5-10,50-99,Early Stage Startup,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
13643,64,0.6659999999999999,9,108,0.0,0.7,80,no info,No relevent experience,no_enrollment,Graduate,No Major,5-10,50-99,Pvt Ltd,never,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
5590,21,0.624,9,7,1.0,0.6,0,Male,Has relevent experience,Part time course,Masters,STEM,5-10,5000-9999,Pvt Ltd,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
22452,21,0.624,5,26,1.0,0.6,0,Female,No relevent experience,Full time course,Masters,STEM,5-10,no info,no info,never,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
9006,21,0.624,5,87,1.0,0.6,80,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,100-500,Pvt Ltd,never,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0
25987,103,0.92,19,52,1.0,0.9,40,Other,Has relevent experience,no_enrollment,Graduate,STEM,16-20,10000+,Public Sector,4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4476,101,0.5579999999999999,15,20,1.0,0.6,0,Male,Has relevent experience,no_enrollment,Graduate,No Major,11-15,no info,no info,>4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
25103,83,0.923,11,21,0.0,0.9,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,11-15,10/49,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
5568,101,0.5579999999999999,4,92,1.0,0.6,80,Male,No relevent experience,no_enrollment,Graduate,STEM,<5,no info,no info,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1
2195,64,0.6659999999999999,10,102,0.0,0.7,80,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,100-500,Pvt Ltd,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
30533,105,0.794,5,26,0.0,0.8,0,Male,No relevent experience,no_enrollment,Graduate,Humanities,5-10,10000+,Pvt Ltd,>4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
28512,104,0.924,3,7,0.0,0.9,0,no info,Has relevent experience,no_enrollment,Masters,STEM,<5,<10,Early Stage Startup,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1023,114,0.926,4,43,0.0,0.9,40,Male,No relevent experience,Full time course,High School,no info,<5,10000+,Pvt Ltd,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
12253,104,0.924,>20,45,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
25296,73,0.754,2,52,0.0,0.8,40,Male,Has relevent experience,Full time course,Graduate,STEM,<5,50-99,Early Stage Startup,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13238,103,0.92,>20,19,0.0,0.9,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
18578,162,0.767,>20,26,1.0,0.8,0,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
29975,67,0.855,6,90,0.0,0.9,80,Male,Has relevent experience,Part time course,Graduate,STEM,5-10,no info,no info,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
26516,75,0.939,6,25,0.0,0.9,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,100-500,Pvt Ltd,3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
8433,100,0.887,>20,48,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
5878,93,0.865,10,142,1.0,0.9,120,Male,Has relevent experience,no_enrollment,Graduate,STEM,5-10,50-99,Pvt Ltd,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25695,67,0.855,4,13,0.0,0.9,0,Other,No relevent experience,no_enrollment,Masters,Humanities,<5,10000+,Pvt Ltd,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
9645,16,0.91,15,47,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Graduate,STEM,11-15,no info,no info,>4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
12730,16,0.91,14,28,0.0,0.9,0,Female,Has relevent experience,no_enrollment,Masters,Humanities,11-15,500-999,Public Sector,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20970,64,0.6659999999999999,>20,22,0.0,0.7,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,no info,no info,4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
17271,21,0.624,<1,18,1.0,0.6,0,Male,No relevent experience,Full time course,Graduate,STEM,<5,no info,no info,never,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1
12731,13,0.8270000000000001,2,29,0.0,0.8,0,Male,Has relevent experience,no_enrollment,Graduate,STEM,<5,10/49,Pvt Ltd,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
10908,67,0.855,5,46,0.0,0.9,40,Male,Has relevent experience,no_enrollment,Masters,STEM,5-10,100-500,no info,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29117,11,0.55,<1,12,0.0,0.6,0,no info,No relevent experience,Full time course,Graduate,STEM,<5,no info,no info,never,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1
